,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
1197,556,21000,10000,479453,10555,696,40000000,349,7,74000
1198,161,42,97,132048,318,203,40000000,50,6,12000
1199,151,119,2000,93748,5855,410,45000000,869,5,1000
1202,173,164,8000,85629,12556,144,40000000,2000,6,14000
1205,216,241,11000,66511,16911,200,40000000,3000,7,28000
1207,218,101,13000,97045,16179,285,35000000,899,5,55000
1208,118,155,23000,48806,24300,263,40000000,984,7,11000
1209,241,278,22000,130661,36010,304,35000000,11000,7,54000
1213,374,436,3000,656640,3924,1732,40000000,472,8,13000
1218,65,14,17000,31968,19334,82,40000000,826,4,663
1219,125,563,24000,87351,43917,344,34000000,11000,6,2000
1220,322,11000,769,103589,2938,351,65000000,698,7,35000
1222,191,415,982,104481,2357,189,40000000,971,6,16000
1224,459,14000,15000,178118,16944,355,40000000,535,7,55000
1231,274,65,11000,173848,13943,203,40000000,980,7,25000
1232,349,174,14000,210542,17152,332,30000000,903,6,29000
1233,341,22000,23000,844052,63986,1100,40000000,20000,8,49000
1234,196,51,18000,114294,30571,187,42000000,11000,6,12000
1238,351,190,2000,171418,4243,619,40000000,1000,6,17000
1239,16,425,954,7900,2179,34,40000000,568,5,263
1243,169,54,3000,37398,9069,110,25000000,2000,6,11000
1244,128,10,1000,54421,4298,101,40000000,689,5,3000
1245,249,16000,880,25465,2281,190,40000000,413,6,16000
1249,25,323,472,17443,519,56,40000000,47,6,694
1254,342,99,176,192462,390,334,40000000,61,7,42000
1261,277,77,703,83788,3074,227,40000000,682,5,20000
1262,90,6,711,29968,2913,117,40000000,683,5,445
1263,157,75,18000,95860,23920,660,40000000,3000,7,16000
1266,146,65,1000,50199,3239,101,40000000,613,5,702
1267,303,3000,14000,136093,28927,416,40000000,9000,6,24000
1269,283,335,15000,81298,15595,341,40000000,467,6,39000
1272,110,18,2000,25346,3753,167,40000000,1000,5,470
1274,100,55,3000,12093,4565,188,40000000,941,5,394
1275,62,39,607,10446,1335,105,40000000,322,5,279
1279,94,7,18000,70292,29484,274,40000000,9000,6,8000
1282,12,545,783,13830,3126,61,40000000,754,6,680
1283,201,118,877,76498,3432,203,40000000,738,6,15000
1285,104,105,22000,21319,34377,166,60000000,11000,6,416
1288,50,17,14000,16741,17877,60,40000000,940,6,309
1291,40,58,12000,14226,14008,60,40000000,975,5,555
1292,102,19,13000,27305,14463,284,40000000,530,5,604
1293,371,171,6000,145270,7099,322,45000000,382,7,54000
1294,49,124,636,8692,3374,126,51000000,631,4,754
1296,86,65,11000,19364,12566,128,40000000,944,5,835
1299,70,29,976,17722,3974,111,30000000,799,4,849
1302,54,22,2000,10413,4327,111,40000000,642,6,579
1303,104,37,2000,17309,4262,388,42000000,886,3,612
1305,159,118,11000,28618,12876,91,40000000,1000,6,11000
1308,32,5,521,2933,1883,70,36000000,372,4,328
1309,75,7,2000,24216,4024,162,24000000,577,4,401
1310,219,22,12000,121432,14127,310,33000000,2000,6,10000
1311,83,39,1000,19986,2664,207,40000000,1000,6,892
1312,53,18,3000,4821,4123,82,40000000,545,4,158
1313,61,8,545,15130,1149,98,40000000,248,5,565
1318,66,13,15000,20201,15638,187,40000000,460,5,823
1320,79,34,11000,54650,13821,223,20000000,922,6,12000
1324,30,44,1000,3322,2115,32,25000000,580,6,265
1325,488,584,11000,181472,12286,514,39200000,557,7,58000
1328,118,295,720,136580,2630,545,23000000,581,7,15000
1329,44,50,218,62756,554,410,18026148,133,8,21000
1330,214,124,152,114925,568,234,39000000,142,7,13000
1332,187,357,23000,272227,45327,988,38000000,14000,6,14000
1333,370,13000,940,73886,4774,165,39000000,925,7,25000
1335,76,534,865,5917,2972,50,39000000,534,5,177
1337,211,88,22000,46480,36009,115,40000000,13000,6,12000
1340,174,126,18000,163665,22436,169,38000000,957,6,9000
1341,23,36,592,17810,2176,73,39000000,516,5,478
1345,279,508,21000,95367,36062,260,38000000,11000,6,33000
1350,116,7,931,44168,2912,216,35000000,754,6,989
1351,76,99,598,23473,3552,123,30000000,557,4,8000
1352,106,43,308,19686,1440,180,38000000,285,5,689
1353,55,11,854,8433,2765,85,38000000,543,5,168
1355,47,150,24000,14066,24547,75,38000000,210,6,352
1357,323,304,940,86955,3277,275,10000000,906,7,12000
1360,302,123,14000,125305,17551,343,38000000,924,6,39000
1361,38,11,37,9740,74,81,37000000,12,6,389
1362,31,49,1000,4757,2120,67,38000000,569,5,474
1365,21,2,4000,6691,4900,28,38000000,476,4,366
1367,194,5,17000,55617,19974,266,38000000,1000,5,14000
1370,170,52,10000,57266,13396,89,40000000,2000,5,14000
1373,393,2000,26000,312629,37206,475,38000000,10000,8,83000
1376,148,11,2000,39440,4882,83,38000000,756,6,15000
1378,350,308,17000,348007,44060,1535,37000000,12000,5,19000
1381,289,43,740,316671,3425,301,37000000,707,7,35000
1382,14,35,463,4387,599,21,29500000,35,5,240
1385,265,38,496,139184,1272,243,36000000,390,6,12000
1387,126,287,9000,31113,10838,212,34000000,1000,5,852
1389,138,488,15000,39778,44037,172,37000000,14000,5,11000
1391,95,96,746,12375,2393,194,36000000,602,6,846
1392,267,101,12000,75864,19904,197,37000000,3000,6,23000
1393,175,487,685,220591,1942,641,36000000,485,7,17000
1394,63,31,944,1977,2928,64,36000000,886,5,133
1395,85,16,541,8860,2268,45,37000000,521,4,279
1397,334,480,14000,583341,17623,626,35000000,839,7,24000
1398,78,25,461,21912,615,45,36000000,79,7,12000
1400,186,13000,920,269033,2725,817,35000000,549,7,12000
1401,77,596,877,3865,3497,53,36000000,794,5,2000
1403,261,102,768,223127,3389,420,29000000,734,7,38000
1406,340,91,18000,353442,18669,387,35000000,464,6,31000
1407,493,1000,13000,240962,25964,724,38000000,12000,7,36000
1410,275,91,4000,97664,5826,232,35000000,904,5,17000
1414,104,8,1000,33887,2689,160,35000000,358,5,919
1416,177,161,18000,414219,19129,625,35000000,398,8,11000
1426,238,87,15000,270228,20956,194,35000000,3000,6,41000
1428,405,102,15000,117719,19809,306,35000000,2000,7,39000
1433,120,42,49000,32157,52566,119,35000000,838,5,913
1438,223,365,887,105446,3876,321,10700000,770,7,11000
1441,360,487,20000,304318,34011,463,40000000,10000,6,52000
1443,128,42,969,48019,2371,153,35000000,826,5,13000
1448,193,2000,396,497946,1075,761,35000000,338,8,21000
1453,392,16000,29000,102728,36258,279,35000000,6000,6,16000
1454,208,192,1000,86205,3185,232,35000000,915,6,5000
1459,100,24,591,38017,2603,247,20000000,488,6,12000
1461,211,357,907,28257,2471,151,35000000,445,5,11000
1468,219,15,10000,44788,13371,138,35000000,979,7,23000
1469,180,309,327,65044,561,173,35000000,73,5,13000
1470,93,2,1000,15788,1908,80,35000000,766,5,538
1475,248,192,23000,95274,24669,178,35000000,1000,6,20000
1478,224,138,26000,90046,28479,141,35000000,968,6,17000
1484,13,468,605,4795,1290,39,35000000,367,5,452
1487,44,10,694,12077,1668,162,35000000,605,6,433
1491,67,85,635,11512,1352,141,35000000,316,4,471
1492,233,453,1000,47498,1458,212,35000000,206,5,10000
1493,112,241,13000,14962,14165,204,38000000,891,5,704
1495,63,12,2000,15015,5022,113,35000000,826,4,494
1500,10,503,2000,10410,4334,71,35000000,864,6,892
1501,12,138,848,23181,3227,129,35000000,674,8,6000
1502,50,55,1000,11747,3125,99,35000000,1000,6,561
1511,297,47,988,310903,1783,524,34000000,149,6,38000
1515,68,3,372,8367,1274,94,34000000,248,5,120
1518,117,88,989,50041,3386,116,34000000,970,7,23000
1519,107,7,40000,45497,52621,260,34000000,9000,5,1000
1520,52,46,818,3740,1778,61,34000000,649,5,314
1522,211,56,113,21223,301,108,35000000,98,7,13000
1525,107,43,2000,27580,5942,232,33000000,1000,5,742
1526,100,67,826,66941,1790,148,30000000,436,5,1000
1529,121,35,3000,45394,4863,72,33000000,594,6,19000
1530,285,160,852,115649,2604,1033,33000000,521,5,4000
1531,103,10,18000,22220,18688,181,33000000,223,5,463
1532,192,36,669,124242,2114,622,33000000,403,6,4000
1534,258,132,26000,83097,27759,134,30000000,828,6,12000
1535,56,179,11000,24826,13093,175,38000000,617,6,783
1536,197,37,11000,681857,13649,647,32500000,1000,8,14000
1538,299,335,14000,189812,14504,370,32000000,388,7,15000
1540,152,4000,22000,147597,43354,395,33000000,11000,6,21000
1543,88,503,13000,61396,18734,159,32000000,1000,7,11000
1545,371,176,722,218711,3229,485,32500000,655,6,27000
1546,418,133,17000,310540,38751,669,32000000,11000,6,97000
1554,224,541,8000,164608,10938,383,32000000,912,6,10000
1556,56,14000,16000,25193,20201,217,35000000,1000,5,2000
1561,90,29,638,18771,961,102,28000000,160,5,702
1563,197,238,1000,87768,2925,187,32000000,561,6,12000
1565,15,278,3000,5176,3864,30,30000000,359,5,350
1566,260,35,12000,60596,32094,158,30000000,10000,5,13000
1567,18,10,3000,5600,7394,49,32000000,2000,6,643
1582,464,176,783,69790,2097,1211,144000000,370,5,62000
1590,214,23,17000,145852,18322,164,30000000,359,6,32000
1594,304,304,15000,87665,20035,323,30000000,1000,7,41000
1596,55,188,1000,96607,3696,125,38000000,1000,6,5000
1600,216,21000,11000,1023511,22678,1080,33000000,11000,8,39000
1601,472,662,2000,531737,2639,1262,30000000,433,8,22000
1603,229,16000,616,338415,1942,935,25000000,541,8,12000
1604,268,16000,16000,482064,28830,1106,30000000,11000,8,14000
1606,177,415,33000,396396,34495,1111,29000000,638,7,57000
1611,57,380,12000,112175,26388,329,30000000,11000,7,11000
1612,391,655,24000,270238,35209,452,25000000,10000,7,19000
1614,452,129,303,184641,337,326,35000000,18,6,81000
1616,61,129,979,19079,2911,122,30000000,891,5,602
1617,79,108,405,94435,1185,182,30000000,368,6,5000
1627,487,11000,617,301149,1289,509,17000000,204,7,78000
1629,147,47,40000,198066,43453,426,30000000,1000,7,13000
1632,39,13,1000,15074,3679,72,30000000,889,5,1000
1633,43,88,3000,76850,4767,85,30000000,459,6,1000
1636,131,98,18000,167967,18726,243,30000000,631,7,20000
1638,316,456,19000,192930,20499,581,30000000,1000,7,12000
1639,159,56,898,74630,1026,156,30000000,60,6,13000
1644,478,777,455,196217,1467,461,30000000,221,7,59000
1645,305,845,15000,147128,16881,277,30000000,1000,7,44000
1647,214,43,11000,93767,15327,209,25000000,2000,7,34000
1649,138,209,2000,47297,4059,86,30000000,594,6,16000
1651,253,395,8000,186977,8362,529,38000000,189,7,13000
1653,634,246,26000,277172,29551,986,30000000,821,7,66000
1658,417,456,157,159198,257,438,30000000,33,6,38000
1660,59,40,663,36363,2266,256,30000000,349,3,1000
1662,359,108,17000,108242,20051,371,30000000,2000,5,39000
1666,64,39,1000,12466,3664,84,45000000,611,5,304
1667,263,30,940,111117,1594,245,30000000,271,7,13000
1671,85,14,577,30651,1653,267,19000000,291,3,1000
1673,165,150,521,15843,2060,104,30000000,491,6,11000
1674,64,73,11000,9283,12785,112,30000000,882,7,592
1676,147,425,973,53884,2737,203,30000000,776,5,1000
1677,242,301,2000,54447,5697,201,30000000,1000,6,18000
1678,244,24,2000,47003,3892,215,30000000,942,5,11000
1679,73,34,1000,15052,4369,116,35000000,681,5,484
1680,232,89,2000,78974,3479,141,30000000,401,6,11000
1681,63,30,1000,12164,4462,63,30000000,962,5,491
1682,239,549,10000,146364,11799,237,35000000,796,7,27000
1684,152,25,954,65979,3148,220,20000000,739,6,999
1685,105,845,978,23345,3072,167,30000000,968,6,629
1686,36,114,4000,7073,6152,29,25000000,561,5,204
1688,219,380,15000,143368,31278,215,30000000,11000,6,24000
1691,74,41,13000,45775,18085,112,40000000,2000,5,462
1692,368,165,900,79517,2222,354,26000000,686,5,12000
1698,358,44,596,85024,1393,242,30000000,343,6,23000
1700,85,38,811,14747,2497,338,30000000,586,4,858
1701,62,277,21000,11003,22006,148,30000000,767,5,654
1703,376,419,971,114241,1643,258,45000000,236,6,24000
1704,130,6,22000,22449,23352,191,25000000,829,4,387
1717,105,277,2000,9004,2759,103,25000000,378,6,287
1720,90,45,489,8215,949,132,60000000,181,5,445
1726,134,395,18000,52972,19620,124,30000000,1000,6,21000
1730,132,61,963,12410,2806,62,30000000,903,5,6000
1732,56,59,1000,14618,1831,108,30000000,794,6,447
1733,65,5,11000,3302,15795,14,19000000,4000,7,13000
1735,291,446,523,188637,1383,815,28000000,405,7,11000
1741,64,71,2000,14315,4169,101,29000000,719,5,201
1744,65,759,11000,8134,17873,123,28000000,1000,6,209
1748,349,473,559,119928,2702,331,28000000,427,7,76000
1750,45,5,971,14005,3438,67,24000000,503,5,418
1754,233,323,25000,592582,40585,722,28000000,13000,8,25000
1756,426,285,33000,182983,57308,374,28000000,23000,7,99000
1763,136,446,1000,177828,3969,714,30000000,872,7,11000
1764,222,226,22000,106755,35694,173,28000000,11000,6,27000
1765,112,46,844,72085,2118,263,28000000,402,6,2000
1766,122,23,11,85423,37,374,28000000,9,6,12000
1769,184,529,576,78008,1554,160,28000000,447,6,23000
1770,36,197,580,60494,1275,132,28000000,336,6,16000
1772,447,905,553,435864,2357,801,30000000,488,7,36000
1775,119,44,35000,29738,47677,85,28000000,7000,6,12000
1776,177,456,422,193455,1083,1058,28000000,286,7,17000
1779,211,368,933,69355,1286,211,28000000,194,6,10000
1781,100,710,497,9338,1805,167,28000000,347,4,209
1782,100,63,63,10369,66,153,160000000,3,8,1000
1784,74,116,738,22250,2171,123,28000000,428,6,913
1786,21,23,1000,4288,5535,21,28000000,937,5,517
1789,225,23,2000,23775,4710,134,28000000,860,5,73000
1792,350,65,17000,202967,19168,378,28000000,927,6,36000
1797,148,415,673,74476,1775,184,30000000,489,7,15000
1798,76,92,940,10791,3565,39,35000000,706,5,464
1799,52,767,358,12980,1334,89,16000000,223,7,845
1805,370,4000,19000,106221,32921,398,175000000,13000,7,65000
1807,125,644,1000,142448,2566,319,27000000,809,7,14000
1811,152,49,1000,42761,3313,366,27000000,888,5,2000
1812,202,118,13000,262153,26451,507,27000000,11000,7,10000
1814,288,776,898,34488,2452,136,30000000,584,6,15000
1815,99,249,523,99557,1560,284,27000000,312,7,21000
1816,222,295,3000,156929,4696,624,27000000,882,7,14000
1822,101,54,748,16555,1721,139,27000000,489,5,817
1828,127,212,1000,49405,4186,226,27000000,968,6,2000
1829,137,272,22000,23767,71973,111,25000000,18000,5,845
1830,54,278,844,4257,3286,52,23000000,766,6,188
1836,253,71,14000,87950,15428,207,28000000,439,6,15000
1849,157,80,19000,48973,28493,214,26000000,3000,6,736
1850,69,906,2000,11212,3917,94,26000000,587,5,874
1852,217,260,20000,88035,42473,201,26000000,15000,7,10000
1853,55,8,1000,11092,3742,44,26000000,934,4,167
1855,93,49,11000,44913,11662,181,42000000,216,6,3000
1856,265,160,771,72886,2356,190,26000000,570,6,35000
1857,82,80,826,10667,2466,95,26000000,590,5,260
1858,32,5,1000,16194,2960,79,26000000,691,4,319
1859,42,30,1000,7772,2228,55,22000000,854,6,145
1861,116,11000,11000,31798,12534,178,26000000,893,6,826
1864,178,763,16000,57674,17847,126,26000000,543,6,11000
1868,100,272,10000,383784,12285,331,25000000,898,8,12000
1869,366,16000,16000,561773,17347,871,33000000,601,8,28000
1871,309,180,14000,483756,16461,974,25000000,816,7,29000
1872,85,97,775,43084,3197,99,26000000,523,6,19000
1874,174,14000,14000,865020,15233,1273,22000000,795,8,41000
1875,373,150,15000,318955,23227,460,25000000,3000,8,75000
1876,224,386,19000,29282,36337,105,28000000,17000,6,11000
1877,94,67,4000,33180,7800,149,80000000,2000,4,567
1879,273,31,918,89101,4692,885,30000000,782,5,3000
1881,66,8,770,23943,2251,118,30000000,677,6,425
1885,488,1000,2000,612060,4738,1518,25000000,939,8,21000
1888,152,529,541,150308,1323,498,25000000,399,7,18000
1891,245,425,20000,168717,22739,178,25000000,962,6,24000
1892,84,170,2000,95241,4453,439,25000000,722,7,11000
1894,154,503,264,80958,673,310,2800000,139,7,7000
1896,170,96,713,76882,1852,106,25000000,220,6,29000
1897,181,47,14000,110390,28071,522,17000000,11000,7,6000
1900,408,248,14000,203111,16606,755,25000000,798,6,32000
1903,192,17000,22000,728685,24783,989,25000000,854,8,25000
1904,79,91,1000,26755,3037,104,26000000,934,5,542
1910,29,420,695,22748,2530,41,25000000,635,6,666
1919,151,44,4000,35833,6393,96,25000000,774,7,10000
1920,198,176,12000,86251,36064,260,25000000,11000,6,58000
1924,109,43,5000,34942,6867,185,30000000,618,5,1000
1928,94,27,601,22243,2730,144,25000000,543,4,686
1930,148,59,49000,87331,50927,364,30000000,702,7,18000
1936,83,82,756,10161,4378,50,25000000,713,3,657
1938,71,23,460,19699,1315,119,21150000,442,4,387
1939,62,101,13000,63459,16937,185,27000000,852,6,3000
1941,322,53,19000,67797,39690,285,25000000,11000,7,30000
1944,216,452,20000,32507,21195,119,23000000,732,7,15000
1948,162,529,17000,104356,19945,186,25000000,861,6,14000
1950,298,24,3000,40776,3744,250,25000000,441,5,10000
1954,58,70,462,12263,1855,132,13000000,444,4,564
1955,73,176,931,8398,4431,56,26000000,839,5,498
1956,28,21,967,5817,3067,37,25000000,767,5,377
1957,19,48,940,4086,2465,22,25000000,595,5,246
1961,86,154,774,9361,2498,162,25000000,692,4,378
1964,50,17,900,15814,1634,68,25000000,246,5,503
1965,52,54,985,11211,3065,92,25000000,637,5,215
1966,260,241,27000,87682,27659,174,30000000,154,7,43000
1970,159,425,3000,39357,3757,113,25000000,466,6,14000
1974,119,308,13000,43903,16651,194,25000000,947,7,5000
1977,58,8,172,5525,210,11,17000000,20,6,853
1978,317,149,27000,332276,29692,514,25000000,798,8,77000
1981,143,108,23000,17757,43560,99,25000000,17000,6,982
1982,72,79,16000,7909,28987,157,25000000,11000,4,261
1984,264,30,941,47169,2348,162,14000000,459,5,17000
1985,20,121,3000,5668,5023,50,25000000,624,6,491
1986,190,37,10000,27117,11431,140,25000000,826,5,7000
1987,142,529,442,14581,1134,74,25000000,252,6,348
1989,355,214,10000,177401,23566,504,25000000,9000,7,32000
1990,21,71,433,3334,611,52,25000000,54,4,739
1991,31,32,843,4875,2165,26,25000000,593,4,206
1992,87,6,849,11375,2413,91,25000000,841,4,295
1993,126,79,12000,44198,12574,251,25000000,506,7,11000
1994,285,160,852,115650,2603,1033,33000000,521,5,4000
1996,23,2,927,3229,4990,20,15000000,912,4,83
1998,143,892,783,30628,2930,471,25000000,595,2,937
1999,376,2000,14000,96480,25143,181,25000000,11000,7,21000
2000,97,460,14000,14982,16090,128,25000000,1000,6,507
2002,28,162,2000,5841,4351,57,25000000,878,7,942
2004,124,911,5000,69676,5954,131,13500000,234,7,31000
2008,49,138,908,2395,3204,17,25000000,581,5,636
2013,16,27,279,5911,705,76,25000000,128,7,690
2015,7,535,668,1084,2204,11,25000000,535,4,437
2017,252,179,17000,33107,33747,128,25000000,10000,6,27000
2020,163,19,1000,33958,3962,163,105000000,897,5,37000
2023,52,167,966,15310,4830,38,24000000,807,5,3000
2028,125,41,45000,55398,49847,418,24000000,1000,4,891
2031,156,119,11000,30119,12254,263,24000000,592,6,455
2032,271,293,18000,109620,32474,268,25000000,12000,6,15000
2033,45,269,1000,5431,2557,50,24000000,489,5,204
2035,84,126,2000,22844,4681,140,24000000,989,5,876
2036,70,25,1000,14637,3243,100,24000000,670,6,619
2038,51,48,1000,11709,4971,101,24000000,957,5,650
2039,73,41,512,10100,1523,59,24000000,481,5,153
2041,365,192,3000,72552,5737,374,24000000,859,5,13000
2043,18,9,23000,2265,24436,37,24000000,284,3,839
2044,10,18,742,2541,1088,47,28000000,83,7,408
2045,16,6,22000,2919,23769,50,24000000,670,5,181
2046,196,88,12000,80574,14699,157,24000000,854,6,12000
2047,212,6000,23000,214091,24263,330,24000000,713,8,13000
2048,445,181,15000,386217,28011,553,23600000,13000,7,26000
2051,223,883,11000,837759,12643,900,18000000,504,8,17000
2056,214,123,14000,193962,16196,805,23000000,991,7,5000
2059,216,452,20000,32513,21195,119,23000000,732,7,15000
2062,36,61,20000,14786,22040,103,23000000,797,6,638
2064,53,12,327,3914,1509,47,23000000,281,5,153
2067,45,4,29000,20163,63194,71,23000000,22000,6,1000
2068,47,258,721,3174,2453,19,23000000,463,5,376
2076,118,300,805,17373,1618,148,23000000,539,6,767
2077,55,3,556,6263,1059,33,23000000,155,6,765
2078,314,101,129,209396,214,580,25000000,25,6,11000
2087,75,42,436,47383,1203,132,22000000,241,4,1000
2089,180,529,820,52894,1484,185,22000000,201,7,55000
2091,129,24,967,121937,3152,431,22000000,912,7,15000
2092,61,25,329,15448,775,174,22000000,134,5,15000
2097,98,2,591,41239,1729,166,22000000,489,4,887
2099,159,118,11000,28621,12876,91,40000000,1000,6,11000
2101,97,221,240,33287,664,201,22000000,226,5,739
2106,95,12,962,25462,4239,200,30000000,844,5,804
2107,423,1000,19000,60926,38494,302,22000000,17000,6,23000
2109,203,39,26000,82804,39989,154,22000000,11000,6,15000
2112,75,87,1000,35018,3148,180,23500000,826,3,716
2113,18,53,2000,2253,4221,111,22000000,595,4,158
2114,22,688,638,1547,788,50,25000000,50,6,104
2115,41,37,3000,8176,5568,77,22000000,968,3,272
2119,115,13,203,21394,773,147,22000000,172,7,11000
2121,98,144,939,16831,2453,54,22000000,875,5,687
2122,149,17,14000,48873,14617,105,22000000,257,6,11000
2125,78,2,809,5166,1651,27,16000000,521,7,815
2126,288,108,23000,83171,24134,231,22000000,820,6,17000
2128,27,88,957,12278,4629,71,21500000,821,6,758
2131,275,11000,385,67893,1205,163,17000000,223,6,18000
2135,60,8,533,25086,1254,87,17000000,219,4,1000
2137,539,737,34000,533607,72115,692,21000000,22000,7,117000
2138,84,98,2000,52533,3994,235,21000000,826,7,10000
2142,85,52,711,13065,3162,253,21000000,490,4,897
2146,111,52,15000,11983,16692,147,21000000,1000,6,365
2147,466,140,19000,149066,46241,517,20000000,14000,7,24000
2148,16,18,670,2295,1562,40,21000000,419,5,284
2152,234,14000,11000,661017,12906,771,18000000,783,8,16000
2157,121,163,1000,30058,2505,236,33000000,409,5,800
2158,185,438,12000,887467,13184,916,19000000,826,8,40000
2164,75,32,826,22679,3558,149,32000000,642,4,773
2165,148,265,989,35965,2654,144,20000000,830,4,11000
2171,549,729,8000,205284,9578,439,20000000,727,7,22000
2173,123,30,742,62421,2341,185,20000000,360,5,10000
2175,64,30,962,28649,2390,185,20000000,593,5,2000
2177,111,13000,40000,357581,42330,588,20000000,967,7,16000
2178,151,17,11000,44723,21852,130,20000000,10000,7,51000
2181,81,24,15000,4654,18786,46,20000000,1000,6,18000
2182,99,64,3000,50415,6539,613,20000000,869,2,806
2183,80,2,1000,13324,3402,79,20000000,677,5,302
2184,364,151,1000,61114,3869,212,20000000,1000,7,22000
2186,140,19,526,25960,1383,389,20000000,392,4,1000
2188,89,25,304,13319,575,53,30000000,253,6,347
2190,61,132,1000,18915,2851,87,20000000,465,6,33000
2194,474,310,745,195333,1058,409,20000000,168,8,80000
2196,131,70,4000,38658,5746,284,20000000,884,5,930
2200,90,20,889,18481,2110,230,20000000,877,5,4000
2201,333,210,978,79461,1454,463,20000000,191,6,10000
2203,122,82,759,39095,2898,187,20000000,401,3,16000
2205,156,189,2000,54242,4662,145,19800000,1000,6,14000
2208,282,34,383,35131,1945,255,11000000,333,4,16000
2210,153,92,31000,50337,34319,177,20000000,881,3,13000
2212,324,835,11000,136673,13189,281,20000000,896,7,10000
2213,122,58,141,12276,389,117,20000000,76,6,21000
2215,161,12,786,55008,2462,93,19000000,651,6,21000
2219,174,350,1000,143137,3141,602,20000000,960,7,10000
2221,31,154,1000,9845,3174,77,20000000,816,6,613
2223,273,1000,14000,666937,19364,1514,20000000,4000,8,52000
2226,427,1000,177,185587,278,401,20000000,55,7,49000
2227,93,26,720,15877,3327,102,20000000,669,5,590
2230,94,15,3000,32951,4257,44,20000000,775,5,6000
2234,120,212,960,39541,3261,334,20000000,917,5,3000
2237,59,835,1000,34774,3598,162,20000000,967,6,1000
2242,290,13000,606,422432,1885,1040,806947,332,8,18000
2246,13,15,691,2061,1761,34,20000000,374,5,501
2251,110,480,970,26100,4374,97,20000000,931,5,484
2252,173,83,991,49888,2173,220,20000000,494,5,25000
2261,77,2,787,13210,2915,138,20000000,555,5,269
2262,350,308,17000,348010,44061,1535,37000000,12000,5,19000
2263,81,13,651,14147,2698,92,20000000,555,5,401
2264,81,143,302,23076,1189,158,20000000,216,5,1000
2266,27,126,940,6484,1934,100,20000000,208,6,1000
2272,289,4,788,82082,1414,236,20000000,447,6,10000
2273,76,272,1000,26390,1189,176,40000000,87,4,713
2275,67,11000,1000,29385,4302,86,20000000,979,7,979
2277,149,176,3000,24019,3431,199,30000000,268,7,983
2279,64,394,922,21542,2880,88,20000000,855,6,977
2282,390,198,17000,92237,20258,366,20000000,1000,7,25000
2283,5,18,400,6701,1151,26,20000000,220,4,444
2288,81,4,2000,16372,4843,121,20000000,1000,6,311
2289,175,53,14000,61360,16926,129,20000000,1000,6,25000
2290,20,277,22000,17349,24887,42,20000000,2000,6,855
2294,160,52,22000,49855,23409,117,21000000,1000,7,10000
2296,72,10,688,21933,1019,76,33000000,99,5,676
2297,53,10,716,9785,2700,26,20000000,537,4,233
2298,76,54,786,6838,2730,117,20000000,567,6,924
2299,15,189,683,3454,2172,64,20000000,641,7,548
2301,31,3,787,3851,2185,114,20000000,690,2,346
2304,45,119,885,8560,2907,205,12000000,816,4,797
2307,58,29,1000,18571,4218,120,20000000,794,5,847
2308,103,608,1000,10037,1690,202,10000000,452,7,608
2309,45,38,1000,15978,5705,122,20000000,1000,7,15000
2312,116,150,18000,24997,21200,75,20000000,1000,7,13000
2313,148,892,310,37626,838,521,20000000,294,2,1000
2314,79,650,690,11958,1573,39,20000000,224,6,1000
2317,25,329,1000,6904,3493,102,20000000,912,6,971
2323,174,6000,893,221552,2710,570,2400000000,851,8,11000
2324,69,22,572,4293,1776,53,20000000,548,6,235
2325,26,42,801,2998,1462,74,20000000,174,4,1000
2328,28,121,836,4518,2467,66,20000000,624,2,241
2329,146,110,23000,261317,25088,1137,20000000,876,7,20000
2330,67,55,991,8087,1003,33,40000000,10,7,1000
2331,93,115,9000,16215,11433,138,24000000,1000,6,401
2332,28,12,979,14015,1978,83,20000000,532,6,831
2334,105,78,488,13727,991,79,2127519898,336,6,973
2335,21,25,18000,2613,20354,46,20000000,723,6,445
2337,9,58,699,3843,1592,25,20000000,533,6,399
2339,8,8,106,7147,182,16,140000000,56,6,136
2341,42,3,14000,9868,15612,81,22000000,506,5,217
2346,29,10,483,5154,1113,29,25000000,472,6,314
2350,2,2,729,50,1092,3,20000000,282,4,70
2353,120,17,12000,43879,16355,133,27220000,991,6,11000
2357,286,52,3000,160418,5547,296,20000000,957,5,16000
2366,6,97,731,60,2374,6,27000000,634,5,1000
2369,167,93,31000,53977,35561,125,15000000,3000,7,14000
2371,47,2,1000,2855,2429,119,19000000,539,3,663
2373,246,6000,17,417971,44,902,19000000,10,8,28000
2375,29,79,14000,17982,28094,95,25000000,12000,7,1000
2376,252,33,876,98741,1985,236,19000000,526,7,53000
2378,134,14,3000,71276,4094,181,19000000,547,6,13000
2379,30,75,617,6156,1131,91,19000000,134,6,560
2383,31,500,12000,3536,14579,44,19000000,1000,6,228
2391,351,89,920,216581,2771,397,18000000,798,6,21000
2399,169,179,12000,24854,15044,374,16000000,1000,3,31000
2401,50,8,748,10104,3956,69,18000000,656,5,265
2402,195,72,1000,107815,3151,485,18000000,624,7,10000
2404,156,52,567,13562,2259,103,18000000,312,6,19000
2406,217,323,1000,290949,4223,629,15000000,1000,7,13000
2407,134,869,692,270790,3076,549,18000000,670,8,16000
2408,146,29,2000,27664,4867,260,20000000,690,3,1000
